Question,Response,processed_question,processed_response,question_seq,response_seq,padded_question,padded_response
i wish it was a nicer day today,that is true i hope it does not rain,"['i', 'wish', 'it', 'wa', 'a', 'nice', '##r', 'day', 'today']","['that', 'is', 'true', 'i', 'hope', 'it', 'doe', 'not', 'rain']","[6, 98, 33, 95, 37, 115, 131, 73, 59]","[58, 35, 132, 6, 133, 33, 112, 53, 77]","[6, 98, 33, 95, 37, 115, 131, 73, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[58, 35, 132, 6, 133, 33, 112, 53, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
that is true i hope it does not rain,it would not rain in the middle of the summer,"['that', 'is', 'true', 'i', 'hope', 'it', 'doe', 'not', 'rain']","['it', 'would', 'not', 'rain', 'in', 'the', 'middle', 'of', 'the', 'summer']","[58, 35, 132, 6, 133, 33, 112, 53, 77]","[33, 82, 53, 77, 23, 78, 79, 56, 78, 80]","[58, 35, 132, 6, 133, 33, 112, 53, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[33, 82, 53, 77, 23, 78, 79, 56, 78, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
it would not rain in the middle of the summer,it would not seem right if it started raining right now,"['it', 'would', 'not', 'rain', 'in', 'the', 'middle', 'of', 'the', 'summer']","['it', 'would', 'not', 'seem', 'right', 'if', 'it', 'started', 'raining', 'right', 'now']","[33, 82, 53, 77, 23, 78, 79, 56, 78, 80]","[33, 82, 53, 118, 25, 92, 33, 65, 117, 25, 26]","[33, 82, 53, 77, 23, 78, 79, 56, 78, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[33, 82, 53, 118, 25, 92, 33, 65, 117, 25, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
it would not seem right if it started raining right now,it would be weird if it started raining in ninety degree weather,"['it', 'would', 'not', 'seem', 'right', 'if', 'it', 'started', 'raining', 'right', 'now']","['it', 'would', 'be', 'weird', 'if', 'it', 'started', 'raining', 'in', 'ninety', 'degree', 'weather']","[33, 82, 53, 118, 25, 92, 33, 65, 117, 25, 26]","[33, 82, 83, 84, 92, 33, 65, 117, 23, 88, 89, 134]","[33, 82, 53, 118, 25, 92, 33, 65, 117, 25, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[33, 82, 83, 84, 92, 33, 65, 117, 23, 88, 89, 134, 0, 0, 0, 0, 0, 0, 0, 0]"
it would be weird if it started raining in ninety degree weather,any rain right now would be pointless,"['it', 'would', 'be', 'weird', 'if', 'it', 'started', 'raining', 'in', 'ninety', 'degree', 'weather']","['any', 'rain', 'right', 'now', 'would', 'be', 'pointless']","[33, 82, 83, 84, 92, 33, 65, 117, 23, 88, 89, 134]","[135, 77, 25, 26, 82, 83, 136]","[33, 82, 83, 84, 92, 33, 65, 117, 23, 88, 89, 134, 0, 0, 0, 0, 0, 0, 0, 0]","[135, 77, 25, 26, 82, 83, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
any rain right now would be pointless,that is right it really would be,"['any', 'rain', 'right', 'now', 'would', 'be', 'pointless']","['that', 'is', 'right', 'it', 'really', 'would', 'be']","[135, 77, 25, 26, 82, 83, 136]","[58, 35, 25, 33, 38, 82, 83]","[135, 77, 25, 26, 82, 83, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[58, 35, 25, 33, 38, 82, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
that is right it really would be,i want it to cool down some,"['that', 'is', 'right', 'it', 'really', 'would', 'be']","['i', 'want', 'it', 'to', 'cool', 'down', 'some']","[58, 35, 25, 33, 38, 82, 83]","[6, 126, 33, 29, 122, 137, 138]","[58, 35, 25, 33, 38, 82, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 126, 33, 29, 122, 137, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i want it to cool down some,i know what you mean i cannot wait until it is winter,"['i', 'want', 'it', 'to', 'cool', 'down', 'some']","['i', 'know', 'what', 'you', 'mean', 'i', 'cannot', 'wait', 'until', 'it', 'is', 'winter']","[6, 126, 33, 29, 122, 137, 138]","[6, 74, 22, 4, 130, 6, 102, 103, 104, 33, 35, 105]","[6, 126, 33, 29, 122, 137, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 74, 22, 4, 130, 6, 102, 103, 104, 33, 35, 105, 0, 0, 0, 0, 0, 0, 0, 0]"
i know what you mean i cannot wait until it is winter,winter is great i wish it did not get so cold sometimes though,"['i', 'know', 'what', 'you', 'mean', 'i', 'cannot', 'wait', 'until', 'it', 'is', 'winter']","['winter', 'is', 'great', 'i', 'wish', 'it', 'did', 'not', 'get', 'so', 'cold', 'sometimes', 'though']","[6, 74, 22, 4, 130, 6, 102, 103, 104, 33, 35, 105]","[105, 35, 21, 6, 98, 33, 139, 53, 108, 18, 109, 107, 140]","[6, 74, 22, 4, 130, 6, 102, 103, 104, 33, 35, 105, 0, 0, 0, 0, 0, 0, 0, 0]","[105, 35, 21, 6, 98, 33, 139, 53, 108, 18, 109, 107, 140, 0, 0, 0, 0, 0, 0, 0]"
winter is great i wish it did not get so cold sometimes though,i would rather deal with the winter than the summer,"['winter', 'is', 'great', 'i', 'wish', 'it', 'did', 'not', 'get', 'so', 'cold', 'sometimes', 'though']","['i', 'would', 'rather', 'deal', 'with', 'the', 'winter', 'than', 'the', 'summer']","[105, 35, 21, 6, 98, 33, 139, 53, 108, 18, 109, 107, 140]","[6, 82, 110, 644, 42, 78, 105, 111, 78, 80]","[105, 35, 21, 6, 98, 33, 139, 53, 108, 18, 109, 107, 140, 0, 0, 0, 0, 0, 0, 0]","[6, 82, 110, 644, 42, 78, 105, 111, 78, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
it is such a nice day,yes it is,"['it', 'is', 'such', 'a', 'nice', 'day']","['yes', 'it', 'is']","[33, 35, 141, 37, 115, 73]","[97, 33, 35]","[33, 35, 141, 37, 115, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[97, 33, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
yes it is,it looks like it may rain soon,"['yes', 'it', 'is']","['it', 'look', 'like', 'it', 'may', 'rain', 'soon']","[97, 33, 35]","[33, 113, 32, 33, 76, 77, 128]","[97, 33, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[33, 113, 32, 33, 76, 77, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
it looks like it may rain soon,yes and i hope that it does,"['it', 'look', 'like', 'it', 'may', 'rain', 'soon']","['yes', 'and', 'i', 'hope', 'that', 'it', 'doe']","[33, 113, 32, 33, 76, 77, 128]","[97, 94, 6, 133, 58, 33, 112]","[33, 113, 32, 33, 76, 77, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[97, 94, 6, 133, 58, 33, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
yes and i hope that it does,why is that,"['yes', 'and', 'i', 'hope', 'that', 'it', 'doe']","['why', 'is', 'that']","[97, 94, 6, 133, 58, 33, 112]","[142, 35, 58]","[97, 94, 6, 133, 58, 33, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[142, 35, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
why is that,i really love how rain clears the air,"['why', 'is', 'that']","['i', 'really', 'love', 'how', 'rain', 'clear', 'the', 'air']","[142, 35, 58]","[6, 38, 143, 2, 77, 144, 78, 145]","[142, 35, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 38, 143, 2, 77, 144, 78, 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i really love how rain clears the air,me too it always smells so fresh after it rains,"['i', 'really', 'love', 'how', 'rain', 'clear', 'the', 'air']","['me', 'too', 'it', 'always', 'smell', 'so', 'fresh', 'after', 'it', 'rain']","[6, 38, 143, 2, 77, 144, 78, 145]","[100, 101, 33, 146, 147, 18, 148, 149, 33, 77]","[6, 38, 143, 2, 77, 144, 78, 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[100, 101, 33, 146, 147, 18, 148, 149, 33, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
me too it always smells so fresh after it rains,yes but i love the night air after it rains,"['me', 'too', 'it', 'always', 'smell', 'so', 'fresh', 'after', 'it', 'rain']","['yes', 'but', 'i', 'love', 'the', 'night', 'air', 'after', 'it', 'rain']","[100, 101, 33, 146, 147, 18, 148, 149, 33, 77]","[97, 106, 6, 143, 78, 150, 145, 149, 33, 77]","[100, 101, 33, 146, 147, 18, 148, 149, 33, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[97, 106, 6, 143, 78, 150, 145, 149, 33, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
yes but i love the night air after it rains,really why is it,"['yes', 'but', 'i', 'love', 'the', 'night', 'air', 'after', 'it', 'rain']","['really', 'why', 'is', 'it']","[97, 106, 6, 143, 78, 150, 145, 149, 33, 77]","[38, 142, 35, 33]","[97, 106, 6, 143, 78, 150, 145, 149, 33, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[38, 142, 35, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
really why is it,because you can see the stars perfectly,"['really', 'why', 'is', 'it']","['because', 'you', 'can', 'see', 'the', 'star', 'perfectly']","[38, 142, 35, 33]","[151, 4, 152, 153, 78, 154, 155]","[38, 142, 35, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[151, 4, 152, 153, 78, 154, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
because you can see the stars perfectly,i really hope it rains today,"['because', 'you', 'can', 'see', 'the', 'star', 'perfectly']","['i', 'really', 'hope', 'it', 'rain', 'today']","[151, 4, 152, 153, 78, 154, 155]","[6, 38, 133, 33, 77, 59]","[151, 4, 152, 153, 78, 154, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 38, 133, 33, 77, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i really hope it rains today,yeah me too,"['i', 'really', 'hope', 'it', 'rain', 'today']","['yeah', 'me', 'too']","[6, 38, 133, 33, 77, 59]","[85, 100, 101]","[6, 38, 133, 33, 77, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[85, 100, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
is not it a nice day,it really is,"['is', 'not', 'it', 'a', 'nice', 'day']","['it', 'really', 'is']","[35, 53, 33, 37, 115, 73]","[33, 38, 35]","[35, 53, 33, 37, 115, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[33, 38, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
it really is,it seems that it may rain today,"['it', 'really', 'is']","['it', 'seems', 'that', 'it', 'may', 'rain', 'today']","[33, 38, 35]","[33, 156, 58, 33, 76, 77, 59]","[33, 38, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[33, 156, 58, 33, 76, 77, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
it seems that it may rain today,hopefully it will,"['it', 'seems', 'that', 'it', 'may', 'rain', 'today']","['hopefully', 'it', 'will']","[33, 156, 58, 33, 76, 77, 59]","[157, 33, 158]","[33, 156, 58, 33, 76, 77, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[157, 33, 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
hopefully it will,how come,"['hopefully', 'it', 'will']","['how', 'come']","[157, 33, 158]","[2, 127]","[157, 33, 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
how come,i like how clear the sky gets after it rains,"['how', 'come']","['i', 'like', 'how', 'clear', 'the', 'sky', 'get', 'after', 'it', 'rain']","[2, 127]","[6, 32, 2, 144, 78, 159, 108, 149, 33, 77]","[2, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 32, 2, 144, 78, 159, 108, 149, 33, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i like how clear the sky gets after it rains,i feel the same way it smells so good after it rains,"['i', 'like', 'how', 'clear', 'the', 'sky', 'get', 'after', 'it', 'rain']","['i', 'feel', 'the', 'same', 'way', 'it', 'smell', 'so', 'good', 'after', 'it', 'rain']","[6, 32, 2, 144, 78, 159, 108, 149, 33, 77]","[6, 125, 78, 160, 161, 33, 147, 18, 12, 149, 33, 77]","[6, 32, 2, 144, 78, 159, 108, 149, 33, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 125, 78, 160, 161, 33, 147, 18, 12, 149, 33, 77, 0, 0, 0, 0, 0, 0, 0, 0]"
i feel the same way it smells so good after it rains,i especially love the night air when it rains,"['i', 'feel', 'the', 'same', 'way', 'it', 'smell', 'so', 'good', 'after', 'it', 'rain']","['i', 'especially', 'love', 'the', 'night', 'air', 'when', 'it', 'rain']","[6, 125, 78, 160, 161, 33, 147, 18, 12, 149, 33, 77]","[6, 86, 143, 78, 150, 145, 162, 33, 77]","[6, 125, 78, 160, 161, 33, 147, 18, 12, 149, 33, 77, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 86, 143, 78, 150, 145, 162, 33, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i especially love the night air when it rains,really why,"['i', 'especially', 'love', 'the', 'night', 'air', 'when', 'it', 'rain']","['really', 'why']","[6, 86, 143, 78, 150, 145, 162, 33, 77]","[38, 142]","[6, 86, 143, 78, 150, 145, 162, 33, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[38, 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
really why,the stars look so much closer after it rains,"['really', 'why']","['the', 'star', 'look', 'so', 'much', 'closer', 'after', 'it', 'rain']","[38, 142]","[78, 154, 113, 18, 163, 164, 149, 33, 77]","[38, 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[78, 154, 113, 18, 163, 164, 149, 33, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
the stars look so much closer after it rains,i really want it to rain today,"['the', 'star', 'look', 'so', 'much', 'closer', 'after', 'it', 'rain']","['i', 'really', 'want', 'it', 'to', 'rain', 'today']","[78, 154, 113, 18, 163, 164, 149, 33, 77]","[6, 38, 126, 33, 29, 77, 59]","[78, 154, 113, 18, 163, 164, 149, 33, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 38, 126, 33, 29, 77, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i really want it to rain today,yeah so do i,"['i', 'really', 'want', 'it', 'to', 'rain', 'today']","['yeah', 'so', 'do', 'i']","[6, 38, 126, 33, 29, 77, 59]","[85, 18, 27, 6]","[6, 38, 126, 33, 29, 77, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[85, 18, 27, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
do not you think it is nice out,yes i think so too,"['do', 'not', 'you', 'think', 'it', 'is', 'nice', 'out']","['yes', 'i', 'think', 'so', 'too']","[27, 53, 4, 75, 33, 35, 115, 165]","[97, 6, 75, 18, 101]","[27, 53, 4, 75, 33, 35, 115, 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[97, 6, 75, 18, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
yes i think so too,i think that it is going to rain,"['yes', 'i', 'think', 'so', 'too']","['i', 'think', 'that', 'it', 'is', 'going', 'to', 'rain']","[97, 6, 75, 18, 101]","[6, 75, 58, 33, 35, 43, 29, 77]","[97, 6, 75, 18, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 75, 58, 33, 35, 43, 29, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i think that it is going to rain,i hope that it does rain,"['i', 'think', 'that', 'it', 'is', 'going', 'to', 'rain']","['i', 'hope', 'that', 'it', 'doe', 'rain']","[6, 75, 58, 33, 35, 43, 29, 77]","[6, 133, 58, 33, 112, 77]","[6, 75, 58, 33, 35, 43, 29, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 133, 58, 33, 112, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i hope that it does rain,you like the rain,"['i', 'hope', 'that', 'it', 'doe', 'rain']","['you', 'like', 'the', 'rain']","[6, 133, 58, 33, 112, 77]","[4, 32, 78, 77]","[6, 133, 58, 33, 112, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 32, 78, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
you like the rain,the sky looks so clean after it rains i love it,"['you', 'like', 'the', 'rain']","['the', 'sky', 'look', 'so', 'clean', 'after', 'it', 'rain', 'i', 'love', 'it']","[4, 32, 78, 77]","[78, 159, 113, 18, 166, 149, 33, 77, 6, 143, 33]","[4, 32, 78, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[78, 159, 113, 18, 166, 149, 33, 77, 6, 143, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
the sky looks so clean after it rains i love it,i understand rain does make it smell cleaner,"['the', 'sky', 'look', 'so', 'clean', 'after', 'it', 'rain', 'i', 'love', 'it']","['i', 'understand', 'rain', 'doe', 'make', 'it', 'smell', 'cleaner']","[78, 159, 113, 18, 166, 149, 33, 77, 6, 143, 33]","[6, 167, 77, 112, 168, 33, 147, 169]","[78, 159, 113, 18, 166, 149, 33, 77, 6, 143, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 167, 77, 112, 168, 33, 147, 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i understand rain does make it smell cleaner,i love most how it is at night after it rains,"['i', 'understand', 'rain', 'doe', 'make', 'it', 'smell', 'cleaner']","['i', 'love', 'most', 'how', 'it', 'is', 'at', 'night', 'after', 'it', 'rain']","[6, 167, 77, 112, 168, 33, 147, 169]","[6, 143, 170, 2, 33, 35, 171, 150, 149, 33, 77]","[6, 167, 77, 112, 168, 33, 147, 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 143, 170, 2, 33, 35, 171, 150, 149, 33, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i love most how it is at night after it rains,how come,"['i', 'love', 'most', 'how', 'it', 'is', 'at', 'night', 'after', 'it', 'rain']","['how', 'come']","[6, 143, 170, 2, 33, 35, 171, 150, 149, 33, 77]","[2, 127]","[6, 143, 170, 2, 33, 35, 171, 150, 149, 33, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
how come,you can see the stars so much more clearly after it rains,"['how', 'come']","['you', 'can', 'see', 'the', 'star', 'so', 'much', 'more', 'clearly', 'after', 'it', 'rain']","[2, 127]","[4, 152, 153, 78, 154, 18, 163, 172, 173, 149, 33, 77]","[2, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 152, 153, 78, 154, 18, 163, 172, 173, 149, 33, 77, 0, 0, 0, 0, 0, 0, 0, 0]"
you can see the stars so much more clearly after it rains,i would love for it to rain today,"['you', 'can', 'see', 'the', 'star', 'so', 'much', 'more', 'clearly', 'after', 'it', 'rain']","['i', 'would', 'love', 'for', 'it', 'to', 'rain', 'today']","[4, 152, 153, 78, 154, 18, 163, 172, 173, 149, 33, 77]","[6, 82, 143, 14, 33, 29, 77, 59]","[4, 152, 153, 78, 154, 18, 163, 172, 173, 149, 33, 77, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 82, 143, 14, 33, 29, 77, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i really want to go to the beach this weekend,that sounds like fun what is the weather going to be like,"['i', 'really', 'want', 'to', 'go', 'to', 'the', 'beach', 'this', 'weekend']","['that', 'sound', 'like', 'fun', 'what', 'is', 'the', 'weather', 'going', 'to', 'be', 'like']","[6, 38, 126, 29, 28, 29, 78, 174, 175, 176]","[58, 177, 32, 178, 22, 35, 78, 134, 43, 29, 83, 32]","[6, 38, 126, 29, 28, 29, 78, 174, 175, 176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[58, 177, 32, 178, 22, 35, 78, 134, 43, 29, 83, 32, 0, 0, 0, 0, 0, 0, 0, 0]"
that sounds like fun what is the weather going to be like,i heard that it is going to be warm this weekend,"['that', 'sound', 'like', 'fun', 'what', 'is', 'the', 'weather', 'going', 'to', 'be', 'like']","['i', 'heard', 'that', 'it', 'is', 'going', 'to', 'be', 'warm', 'this', 'weekend']","[58, 177, 32, 178, 22, 35, 78, 134, 43, 29, 83, 32]","[6, 179, 58, 33, 35, 43, 29, 83, 180, 175, 176]","[58, 177, 32, 178, 22, 35, 78, 134, 43, 29, 83, 32, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 179, 58, 33, 35, 43, 29, 83, 180, 175, 176, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i heard that it is going to be warm this weekend,is it going to be perfect beach weather,"['i', 'heard', 'that', 'it', 'is', 'going', 'to', 'be', 'warm', 'this', 'weekend']","['is', 'it', 'going', 'to', 'be', 'perfect', 'beach', 'weather']","[6, 179, 58, 33, 35, 43, 29, 83, 180, 175, 176]","[35, 33, 43, 29, 83, 181, 174, 134]","[6, 179, 58, 33, 35, 43, 29, 83, 180, 175, 176, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[35, 33, 43, 29, 83, 181, 174, 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
is it going to be perfect beach weather,i believe so,"['is', 'it', 'going', 'to', 'be', 'perfect', 'beach', 'weather']","['i', 'believe', 'so']","[35, 33, 43, 29, 83, 181, 174, 134]","[6, 182, 18]","[35, 33, 43, 29, 83, 181, 174, 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 182, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i believe so,good i hope it does not cool off this weekend,"['i', 'believe', 'so']","['good', 'i', 'hope', 'it', 'doe', 'not', 'cool', 'off', 'this', 'weekend']","[6, 182, 18]","[12, 6, 133, 33, 112, 53, 122, 123, 175, 176]","[6, 182, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12, 6, 133, 33, 112, 53, 122, 123, 175, 176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
good i hope it does not cool off this weekend,i know i really want to go to the beach,"['good', 'i', 'hope', 'it', 'doe', 'not', 'cool', 'off', 'this', 'weekend']","['i', 'know', 'i', 'really', 'want', 'to', 'go', 'to', 'the', 'beach']","[12, 6, 133, 33, 112, 53, 122, 123, 175, 176]","[6, 74, 6, 38, 126, 29, 28, 29, 78, 174]","[12, 6, 133, 33, 112, 53, 122, 123, 175, 176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 74, 6, 38, 126, 29, 28, 29, 78, 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i know i really want to go to the beach,but you know that california weather is really unpredictable,"['i', 'know', 'i', 'really', 'want', 'to', 'go', 'to', 'the', 'beach']","['but', 'you', 'know', 'that', 'california', 'weather', 'is', 'really', 'unpredictable']","[6, 74, 6, 38, 126, 29, 28, 29, 78, 174]","[106, 4, 74, 58, 183, 134, 35, 38, 184]","[6, 74, 6, 38, 126, 29, 28, 29, 78, 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[106, 4, 74, 58, 183, 134, 35, 38, 184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
but you know that california weather is really unpredictable,you are right one minute it is hot and then the next minute it is cold,"['but', 'you', 'know', 'that', 'california', 'weather', 'is', 'really', 'unpredictable']","['you', 'are', 'right', 'one', 'minute', 'it', 'is', 'hot', 'and', 'then', 'the', 'next', 'minute', 'it', 'is', 'cold']","[106, 4, 74, 58, 183, 134, 35, 38, 184]","[4, 3, 25, 124, 185, 33, 35, 96, 94, 186, 78, 187, 185, 33, 35, 109]","[106, 4, 74, 58, 183, 134, 35, 38, 184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 3, 25, 124, 185, 33, 35, 96, 94, 186, 78, 187, 185, 33, 35, 109, 0, 0, 0, 0]"
you are right one minute it is hot and then the next minute it is cold,i really wish the weather would just stay the same,"['you', 'are', 'right', 'one', 'minute', 'it', 'is', 'hot', 'and', 'then', 'the', 'next', 'minute', 'it', 'is', 'cold']","['i', 'really', 'wish', 'the', 'weather', 'would', 'just', 'stay', 'the', 'same']","[4, 3, 25, 124, 185, 33, 35, 96, 94, 186, 78, 187, 185, 33, 35, 109]","[6, 38, 98, 78, 134, 82, 188, 189, 78, 160]","[4, 3, 25, 124, 185, 33, 35, 96, 94, 186, 78, 187, 185, 33, 35, 109, 0, 0, 0, 0]","[6, 38, 98, 78, 134, 82, 188, 189, 78, 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i really wish the weather would just stay the same,i do too that way we can have our activities planned ahead of time,"['i', 'really', 'wish', 'the', 'weather', 'would', 'just', 'stay', 'the', 'same']","['i', 'do', 'too', 'that', 'way', 'we', 'can', 'have', 'our', 'activity', 'planned', 'ahead', 'of', 'time']","[6, 38, 98, 78, 134, 82, 188, 189, 78, 160]","[6, 27, 101, 58, 161, 190, 152, 19, 191, 192, 193, 194, 56, 195]","[6, 38, 98, 78, 134, 82, 188, 189, 78, 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 27, 101, 58, 161, 190, 152, 19, 191, 192, 193, 194, 56, 195, 0, 0, 0, 0, 0, 0]"
